"Sample"	"coding_exons"	"GtRNAdb"	"intergenic"	"lncRNA"	"miRNA"	"miRNA_primary_transcript"	"misc_RNA_ensembl"	"Mt_rRNA_ensembl"	"Mt_tRNA_ensembl"	"piRBase"	"protein_coding_gene"	"ribozyme_ensembl"	"rRNA_ensembl"	"scaRNA_ensembl"	"scRNA_ensembl"	"snoRNA_ensembl"	"snRNA_ensembl"	"sRNA_ensembl"
"19-032_SC5_S27_L001_R1_001"	2.45291792606371	26.0588622800899	21.060024800434	12.2316515539022	9.07831512051461	0.00581260172053011	0.537665659149035	0.08622025885453	2.69123459660544	1.366930171278	20.7655196465938	0	3.4710919941099	0.00193753390684337	0	0.164690382081686	0.0271254746958072	0
"19-032_SC6_S28_L001_R1_001"	2.65813625804486	16.4718128387727	28.9081838607715	12.4934942940198	1.82794470467268	0.00761643626946952	2.45249247876918	0.0507762417964634	0.47221904870711	0.685479264252256	30.0684209858207	0	3.81075694682458	0	0	0.0723561445599604	0.0203104967185854	0
"19-032_SC7_S29_L001_R1_001"	2.2654117762248	27.5753607402059	22.3138776359431	10.7126684372208	7.05569902211561	0	2.31436719008163	0.0991347130600805	1.14678056959624	1.11373566524288	21.2185002508965	0.00244777069284149	4.01556782160647	0.00367165603926224	0	0.143194585531227	0.019582165542732	0
"19-032_SC9_S30_L001_R1_001"	3.0902272587553	6.42431197360602	33.4474067091539	13.9531547777618	0.401647574745384	0	0.344269349781758	0.0245906678415541	0.282792680177872	0.622963585319371	35.6523699256132	0	5.65995204819771	0	0	0.088116559765569	0.00819688928051804	0
"19-135_SC1_S18_L001_R1_001"	2.80851063829787	18.0940649496081	25.2597984322508	14.5274356103024	4.9552071668533	0.00447928331466965	0.107502799552072	0.0604703247480403	0.487122060470325	0.493840985442329	26.3673012318029	0.0660694288913774	4.79843225083987	0.0201567749160134	0	1.84210526315789	0.107502799552072	0
"19-135_SC2_S19_L001_R1_001"	2.81437516305766	5.7918079833029	29.7515001304461	18.2869162535873	4.60963996869293	0	0.154904774328202	0.0228280720062614	0.482650665275241	0.534829115575267	28.7764153404644	0.017936342290634	7.10442212366293	0	0.00163057657187582	1.57513696843204	0.0750065223062875	0
"19-135_SC4_S20_L001_R1_001"	2.83733280881196	6.4335824809861	28.2192499344348	16.6666666666667	4.03389719381065	0.0147521636506688	0.167191188040913	0.0622869131917126	0.776947285601888	0.929386309992132	30.7107264621033	0.00983477576711251	6.75813008130081	0.0278651980068188	0	2.08333333333333	0.268817204301075	0
"19-231_SC10_S28_L001_R1_001"	2.57047040696094	5.19713586513188	23.8230762258679	12.8831686757908	8.18816278437415	0.0090637179370978	0.583703435149098	0.0706969999093628	0.326293845735521	0.868304178373969	26.8195413758724	0	17.8790900027191	0.0108764615245174	0	0.668902383757817	0.101513640895495	0
"19-231_SC11_S29_L001_R1_001"	2.42697271441894	0.835564513702957	11.5061219578232	48.9064709244608	1.82530609789116	0.099274991727084	0.526458289461809	0.0263229144730905	1.52973737252189	4.75993502000541	12.025811497849	0.00376041635329864	12.7989531000872	0.00977708251857646	0	2.67816852681929	0.041364579886285	0
"19-231_SC12_S30_L001_R1_001"	2.76829947318076	3.73342089859087	22.5247348057622	15.9530574075925	2.33856345387833	0.00142769441628714	0.114215553302971	0.0899447482260897	0.265551161429408	0.673871764487529	25.0588923946718	0.00571077766514855	21.305483774253	0.00285538883257428	0	4.9955027625887	0.168467941121882	0
"19-231_SC13_S31_L001_R1_001"	2.70510823611685	4.01051103552772	26.5022198205071	15.7972811172214	3.18297890375833	0.0169532831092321	0.390985091706666	0.0593364908823124	0.168473250897994	1.09878466151711	28.1784756879324	0.00953622174894307	14.1994341841762	0	0.00105958019432701	3.63012174576433	0.0487406889390424	0
"19-231_SC2_S24_L001_R1_001"	3.46938775510204	1.42857142857143	32.2320279463137	11.1969111969112	0.314396028681743	0.00367714653428939	0.125022982165839	0.0165471594043023	0.0110314396028682	0.250045964331679	37.3892259606545	0	13.5613164184593	0	0	0.0018385732671447	0	0
"19-231_SC3_S25_L001_R1_001"	3.33182064382018	1.50488208341263	29.2983560480742	12.9700926644318	1.04229187100174	0	0.278139684677431	0.00878335846349783	0.0248861823132438	0.519682042423621	33.3284536897425	0.0307417546222424	17.4847389146697	0	0	0.109791980793723	0.0673390815534833	0
